objectId,createdAt,updatedAt,ACL,name,state
01Z2wJES1f,Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),null,Lesley University,uQQMu3mJEd
01mSdDFgSV,Thu Dec 19 2019 08:33:25 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:25 GMT-0600 (Central Standard Time),null,Caribbean University at Bayamon,zueGGGFDQN
029LnsiSpB,Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),null,Calumet College of St. Joseph,tAy4VFhYH8
03pMpnVdTd,Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),null,Mercy College of Health Sciences,DjJxhPBWjX
05JrHpklRT,Thu Dec 19 2019 08:33:21 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:21 GMT-0600 (Central Standard Time),null,Tillamook Bay Community College,zzfxE1ggVI
06LDEoZkFV,Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),null,Divine Word College,DjJxhPBWjX
06sxDd5C49,Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),null,"Faith Evangelical Lutheran Seminary, Tacoma",5TYGpvW0rm
09Qp6P4k5I,Thu Dec 19 2019 08:32:52 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:52 GMT-0600 (Central Standard Time),null,Cankdeska Cikana Community College,l136DEUlaB
0AbqQuAxMb,Thu Dec 19 2019 08:32:55 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:55 GMT-0600 (Central Standard Time),null,Huntsville Bible College,Bz2SEsNL7S
0Amb277DZD,Thu Dec 19 2019 08:33:04 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:04 GMT-0600 (Central Standard Time),null,College of the Albemarle,J40rCTCdyA
0B2akCMVFo,Thu Dec 19 2019 08:33:15 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:15 GMT-0600 (Central Standard Time),null,"California State University, Monterey Bay",UzpfDxugnp
0BEpcAdkTV,Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),null,MCPHS University,uQQMu3mJEd
0CQvpK7pXx,Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),null,Purdue University Northwest,tAy4VFhYH8
0Cb0dzDy7s,Thu Dec 19 2019 08:33:10 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:10 GMT-0600 (Central Standard Time),null,Northridge Campus,WJfKBdeYC9
0Cr8arjoRg,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Jarvis Christian College,WJfKBdeYC9
0DyUWHNKAU,Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),null,Cleveland Institute of Art,0VZmSkdlu2
0ElvgRzgMm,Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),null,Erikson Institute,LgZHAdphqt
0EoJ18ZbND,Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),null,West Virginia Junior Collegeâ€“Charleston,hYjEaUzMdA
0IoCtRNFMD,Thu Dec 19 2019 08:33:05 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:05 GMT-0600 (Central Standard Time),null,Montgomery Community College,J40rCTCdyA
0Jvho1pEdO,Thu Dec 19 2019 08:32:38 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:38 GMT-0600 (Central Standard Time),null,Post University,RgEjBdhWjE
0K0Xp2Von4,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,University of Texas Rio Grande Valley,WJfKBdeYC9
0LWIfMZ6qC,Thu Dec 19 2019 08:32:58 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:58 GMT-0600 (Central Standard Time),null,National Louis University (Tampa),ek4N6EstVc
0OMfY2ZNht,Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),null,Western Seminary - San Jose Campus,UzpfDxugnp
0OgGxK6Cwn,Thu Dec 19 2019 08:33:04 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:04 GMT-0600 (Central Standard Time),null,Mars Hill University,J40rCTCdyA
0OnJO8UNtp,Thu Dec 19 2019 08:33:15 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:15 GMT-0600 (Central Standard Time),null,Azusa Pacific University,UzpfDxugnp
0Opk7kmCcF,Thu Dec 19 2019 08:33:01 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:01 GMT-0600 (Central Standard Time),null,LSU Health Sciences Center Shreveport - Shreveport,Us2YmobhyD
0OrdJiVtCE,Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),null,University of Redlands,UzpfDxugnp
0P4FOLF1RN,Thu Dec 19 2019 08:32:45 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:45 GMT-0600 (Central Standard Time),null,Community College of Philadelphia,vKcIRkRCzk
